Date,Temperature(High),Temperature(Low),Humidity,Sunlight,Rating
2023-01-01,65,45,60,8,62.73584906
2023-01-02,68,48,55,9,62.26415094
2023-01-03,70,50,50,10,61.32075472
2023-01-04,72,52,45,10,59.90566038
2023-01-05,75,55,40,11,59.43396226
2023-01-06,78,58,35,12,58.96226415
2023-01-07,80,60,30,11,57.0754717
2023-01-08,78,58,35,10,58.01886792
2023-01-09,75,55,40,9,58.49056604
2023-01-10,72,52,45,8,58.96226415
2023-01-11,70,50,50,8,60.37735849
2023-01-12,68,48,55,7,61.32075472
2023-01-13,65,45,60,7,62.26415094
2023-01-14,62,42,65,6,62.73584906
2023-01-15,60,40,70,6,64.1509434
2023-01-16,58,38,75,5,65.09433962
2023-01-17,55,35,80,5,66.03773585
2023-01-18,52,32,85,4,66.50943396
2023-01-19,50,30,90,4,67.9245283
2023-01-20,48,28,95,3,68.86792453
2023-01-21,45,25,92,3,66.03773585
2023-01-22,42,22,88,3,62.73584906
2023-01-23,40,20,85,2,59.90566038
2023-01-24,38,18,82,2,57.54716981
2023-01-25,35,15,78,2,54.24528302
2023-01-26,32,12,75,1,50.94339623
2023-01-27,30,10,72,1,48.58490566
2023-01-28,28,8,70,1,46.69811321
2023-01-29,25,6,68,1,44.33962264
2023-01-30,22,4,65,1,41.50943396
2023-01-31,20,2,62,1,39.1509434